Dest ICAO,Dest Name,Level Restrictions,Full Route
KSEA,Seattle,EVEN,RIDAP M557 TUMAK T557 RAGAS UT430 SYZ UP574 SAV N72 BISNA G821 ALABO N39 ST A928 FE FE1T AO FE6T NE P190 UREPI G476 PELOR A74 VANOS DCT ANETI DCT 78N020E 82N010E 84N000E 85N020W DCT PELRI DCT 84N080W 81N100W 76N110W 70N115W 65N119W 60N122W 55N123W DCT YVR DCT ROESH
LBSF,Sofia,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 SRT UL614 GEM UT32 BUK UL602 MAKOL L622 BGS T228 GAPVO
LCLK,Larnaca,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB J981 DATOK L550 APLON A28 LOSOS
LDZA,Zagreb,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM Q6 ERDOM Y520 UTEKA DCT TUVAR DCT LAKIK DCT MOSAV
LEBL,Barcelona,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ A1 METRU UP868 ARLOS N4 DOBIX M978 SONAK UM978 MORJA UA411 ANB UM134 IZA UN856 MARTA
LEBL,Barcelona,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 SRT UL614 GEM UT32 BUK UL602 MAKOL DCT DOLAP DCT VELUG DCT ROMPO DCT EPIKU DCT GINOX UM601 VERSO
LEMD,Madrid,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ A1 METRU UP868 ARLOS N4 DOBIX M978 SONAK UM978 MORJA UA411 ANB UM134 VLC UN733 PRADO
LFLL,Lyon,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 NERDI M747 NEKUL P975 MOPUG DCT DIMLO DCT VAMET DCT OBEDI DCT ERKIR L608 KPT L856 AKABI UZ613 TRA Z69 OLBEN UN869 MILPA
LFLL,Lyon,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM Q8 DOLAP DCT ROTAR DCT IXUSA P860 RONOP UP860 GIGUS Z40 AMVAR
LFLL,Lyon,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 DIRER DCT TUVAR DCT ROTAR DCT IXUSA P860 RONOP UP860 GIGUS Z40 AMVAR
LFPG,Paris,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 TIXIP Q26 DEGET DCT ABETI DCT TAGAS DCT RENKA UL610 LOHRE UL984 NOSPA UN857 RAPOR UZ157 VEDUS
LGAV,Athens,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ L617 TANSA UL617 SOREV
LGAV,Athens,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 SRT UG8 GEM UW705 HAY UR32 IMR UG802 SOSIR N604 OGSIL OGSI1A
LHBP,Budapest,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 NEPOT L746 EVRIK L850 BUDOP DCT ABONY
LHBP,Budapest,EVEN,DAVMO M318 GABKO M317 ROTAL UP574 SYZ UT430 VUVAG UL333 DASIS UR660 ERZ UW704 CRM UL746 ODERO L746 EVRIK L850 BUDOP DCT ABONY
LIMC,Milan,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A1 NOZ L617 TANSA UL613 YNN UL611 TUMBO DCT RODON DCT KOFER DCT ROTAR DCT VIC DCT ADOSA L615 OSKOR
LIPE,Bologna,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM Q8 DOLAP DCT ROTAR M167 CHI M859 LUMAV
LIRF,Rome,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ L617 TANSA UL613 KOR UL53 KRK UL995 TIGRA DCT TEA DCT SIPRO Z803 LAT
LOWW,Vienna,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 NEPOT L746 EVRIK L850 BUDOP DCT BALUX DCT TORNO DCT NATEX
LOWW,Vienna,EVEN,DAVMO M318 GABKO M317 ROTAL UP574 SYZ UT430 VUVAG UL333 DASIS UR660 ERZ UW704 CRM UL746 ODERO L746 EVRIK L850 BUDOP DCT BALUX DCT TORNO DCT NATEX
LPPR,Porto,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ A1 METRU UP868 ARLOS N4 DOBIX M978 SONAK UM978 MORJA UA411 ANB UM134 VLC UN733 ZMR UL155 ADORO
LPPR,Porto,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ A1 METRU UL81 LORNO DCT EPIKU DCT GINOX UM601 BCN UN725 DGO UN976 ZMR UL155 ADORO
LPPT,Lisbon,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A1 METRU UP868 ARLOS N4 DOBIX M978 SONAK UM978 MORJA UA411 ANB UM134 VLC UN733 CJN UN975 CCS DCT ELVAR DCT EXONA
LSGG,Geneva,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 NERDI M747 NEKUL P975 MOPUG DCT NALOX DCT GOTAR DCT ERKIR L608 KPT L856 AKABI UZ613 TRA Z69 OLBEN UN869 BENOT
LSGG,Geneva,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM Q8 DOLAP DCT ROTAR L615 BANKO
LSZH,Zurich,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 NERDI M747 NEKUL P975 MOPUG DCT NALOX DCT GOTAR DCT ERKIR DCT KPT L856 NEGRA
LTFJ,Istanbul,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 ALPET L718 KABAN UT334 ULSAB UL614 UMRUN UG8 TOKER
LFTM,Istanbul,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 ALPET L718 KABAN UT334 ULSAB UL614 EZS UG8 GEM UT32 BUK UL615 ERSEN
LFTM,Istanbul,EVEN,RIDAP M557 TUMAK T557 RAGAS UT430 LAGSA UL223 KAPES J5 ALRAM UT888 SIV UL615 ERSEN
LUKK,Chișinău,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES DCT KODRU T34 LIPTA
LYBE,Belgrade,EVEN,DAVMO M318 GABKO M317 ROTAL UP574 SYZ UT430 DASIS UL333 SIV UL615 BUK UL602 MAKOL DCT UTEKA DCT OSVIX
OAKB,Kabul,ODD,DAVMO M318 KHM A453 PEKES Z627 OGOGO A453 TAPIS
OBBI,Bahrain,MAX FL 260 EVEN,NABIX P699 ALKAN Y856 MEDMA DCT OBSAS
OEDF,Dammam,EVEN,NABIX P699 ALKAN Y856 NARMI N697 KFA
OEJN,Jeddah,EVEN,KUTLI L519 ATUDO M318 GOLGU M550 MEVDO Y511 NALBA M628 DFN G782 VEMEM
OEJN,Jeddah,EVEN,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 VEMEM
OEMA,Medina,EVEN,VSENPA N571 ALPOB L768 ULADA Q143 MEDGO UN697 BPN G674 MUSAR
OERK,Riyadh,EVEN,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 ETBAS
OIIE,Tehran,ODD,DAVMO M318 ASMUK W32 ROVAD UL125 RADAL
OJAI,Amman,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 NIMAR G662 GRY N318 ELOXI
OKBK,Kuwait,EVEN,RIDAP M557 TUMAK M600 KUMBO A453 DEBTI
OLBA,Beirut,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 STEPA N71 VELOX N159 ELIKA
OOMS,Muscat,ODD,ANVIX L223 TARDI N629 MUSUK T511 MCT
OOSA,Salalah,EVEN,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 ASTUN
OPIS,Islamabad,ODD,IVURO M677 LALDO B505 PG G325 HANGU J139 KALMI
OPKC,Karachi,ODD,IVURO M677 LALDO B505 NADSO B524 ALPOR G216 LAKIV
OPLA,Lahore,ODD,IVURO M677 LALDO B505 PG G214 VEREN
ORMM,Basrah,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 RALKA G795 TASMI
ORNI,Najaf,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 ALPET DCT ALRID
OSDI,Damascus,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 DELMI G202 TAN
OTHH,Doha,MAXFL260EVEN,NABIX P699 OXARI M430 BOVIP Q215 AFNAN
RJTT,Tokyo,ODD,DAVMO M318 KHM A453 ZDN G452 KALAT G325 PURPA W112 TUSLI W187 IBANO B215 NUKTI W66 DKO W69 HUR B339 LADIX W34 ANRAT A326 DONVO G597 AGAVO Y644 EGOBA G597 LANAT Y71 XAC
RJTT,Tokyo,ODD,IVURO M677 LALDO B505 PG G325 PURPA W112 TUSLI W187 IBANO B215 NUKTI W66 DKO W69 HUR B339 LADIX W34 ANRAT A326 DONVO G597 AGAVO Y644 EGOBA G597 LANAT Y71 XAC
RJTT,Tokyo,ODD,IVURO M677 LALDO DCT NADSO B524 ALPOR M504 TELEM A791 CEA B465 CTG A599 SGM A581 WHA R343 PK A593 POTET Y60 FUE Y23 ARTIC Y71 XAC
RJTT,Tokyo,ODD,IVURO M677 LALDO B505 PG G214 SK J173 RK G202 MERUN G452 CHI V10 ALI R460 LKN A201 LSO A599 SGM A581 WHA R343 PK A593 POTET Y60 FUE Y23 ARTIC Y71 XAC
RKSI,Incheon,ODD,DAVMO M318 KHM A453 PEKES Z627 OGOGO A453 TAPIS G206 PURPA W112 TUSLI W187 IBANO B215 NUKTI W66 DKO W69 HUR B339 LADIX W34 VAPGU W100 ORAVA W201 UNSEK A326 DONVO G597 AGAVO Y644 REBIT
RPLL,Manila,ODD,IVURO M677 LALDO B505 NADSO A777 VAXIM L301 KARKU M638 EXOLU L505 BUSBO L301 BKK G474 PCA L628 GUKUM DCT LBG DCT MIA
RPLL,Manila,ODD,IVURO M677 LALDO B505 NADSO B524 ALPOR M504 TELEM G472 NNP L524 BKK G474 PCA L628 GUKUM DCT LBG DCT MIA
RPLL,Manila,ODD,IVURO M677 LALDO B505 NADSO B524 ALPOR M504 TELEM A791 CEA B465 CTG A599 POU B330 CH DCT GRUPA V4 NOMAN A461 AVMUP W16 MIA
RPVM,Cebu,ODD,IVURO M677 LALDO B505 NADSO B524 ALPOR M504 TELEM G472 PTN P646 BKK G474 PCA L628 MIA B462 MASBA W8 BATAY
RPVM,Cebu,ODD,IVURO M677 LALDO B505 NADSO B524 ALPOR M504 TELEM A791 CEA B465 CTG A599 POU B330 CH DCT GRUPA V4 NOMAN A461 AVMUP W16 MIA B462 MASBA W8 BATAY
SBGL,Rio de Janeiro,EVEN,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 JDW UM863 FL UG857 DLA UQ584 MOKOB UB600 EBULI DCT 01N005E 01S000E 03S005W 05S010W 08S015W 11S020W 14S025W 16S030W 19S035W DCT GELAM UZ50 LIVOD DCT MOLSU
SBGL,Rio de Janeiro,EVEN,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 JDW UM863 FL UG660 MIU UG626 JOS UJ332 GURAP UH340 LAG UL433 ACC UA560 INAKA DCT KOBLI UN363 UBUGO DCT 00N010W 03S015W 06S020W 09S025W 12S030W 15S035W DCT MUDSA UM661 MINIG UL330 VRI UL327 MOLSU
SBGR,São Paulo,EVEN,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 JDW B407 KAROX UL320 KISAL UQ584 MOKOB UB600 EBULI DCT 01N005E 01S000E 03S005W 05S010W 07S015W 10S020W 13S025W 16S030W 19S035W DCT GELAM UZ50 TOSIV UZ48 ADA UZ44 PAGOG
UBBB,Baku,EVEN,DAVMO M318 ASMUK W32 ROVAD UL125 ELEDI N39 MOSUM
ULLI,St Petersburg,EVEN,RIDAP M557 TUMAK T557 RAGAS UT430 SYZ UP574 SAV R654 ZAJ UR654 MAGRI N77 ADANO N82 LAPTO A234 SORLU R11 BUTRI N39 TE T563 GD R369 AJ B239 DB B160 NUKOL T561 OKULO R961 GENPA
ULLI,St Petersburg,EVEN,DAVMO M318 ASMUK W32 ROVAD UL125 ELEDI N39 ULDUS N23 MOTEG B945 DETIR R704 ARNIS T639 BUTRI N39 TE T563 GD R369 AJ B239 DB B160 NUKOL T561 OKULO R961 GENPA
UTAA,Ashgabat,ODD,DAVMO M318 RIKOP
UTAK,Turkmenbashi,EVEN,DAVMO M318 GABKO M317 RADEB M318 TBS Q15 SOMAD B353 ASGAD
UUDD,Moscow,EVEN,DAVMO M318 ASMUK W32 PURKI T215 OBRIX N39 ULDUS N23 PIROG N39 BAKUV N72 BISNA R704 DETIR B945 UP R120 ST A928 FE FE6T AO
UUDD,Moscow,EVEN,RIDAP M557 TUMAK T557 RAGAS UT430 SYZ UP574 SAV R654 ZAJ UR654 MAGRI N77 ADANO N82 LAPTO A234 SORLU R11 BUTRI B145 GITAL A928 FE FE1T AO
VAAH,Ahmedabad,ODD,IVURO M677 LALDO B505 NADSO B524 ALPOR M504 TELEM G210 VASLA
VABB,Mumbai,ODD,IVURO M677 LALDO B505 NADSO A777 VAXIM L301 KARKU M638 EXOLU
VABB,Mumbai,ODD,IVURO M677 LALDO B505 NADSO A777 VAXIM P307 PARAR N571 SUGID
VCBI,Chennai,ODD,ANVIX L223 TARDI N629 GIDAN P570 EMURU M300 VASTU P895 BIKOK
VECC,Kolkata,ODD,IVURO M677 LALDO B505 NADSO B524 ALPOR M504 TELEM A791 JJS
VGHS,Dhaka,ODD,IVURO M677 LALDO B505 NADSO B524 ALPOR M504 TELEM A791 CEA A462 DAC
VHHH,Hong Kong,ODD,IVURO M677 LALDO B505 NADSO B524 ALPOR M504 TELEM A791 CEA B465 CTG A599 POU R473 SIERA
VIDP,New Delhi,ODD,IVURO M677 LALDO B505 NADSO B524 ALPOR G216 KC Z306 RK G452 LKA
VNKT,Kathmandu,ODD,DAVMO M318 KHM M561 ASVIB G665 PG G214 RK G452 CHI V10 ALI R460 LKN G598 SMR
VOBL,Bengaluru,ODD,ANVIX L223 TARDI N629 TOTOX P574 BBM W78 SUSIK
VOBL,Bengaluru,ODD,ANVIX L223 TARDI N629 GIDAN P570 TOLDA N318 REXOD N563 GUNIM
VOBL,Bengaluru,ODD,IVURO M677 LALDO B505 NADSO A777 VAXIM L301 KARKU M638 BBB W78 SUSIK
VOCI,Kochi,ODD,ANVIX L223 TARDI N629 GIDAN P570 EMURU M300 VASTU P895 CIA VOCI
VOHS,Hyderabad,ODD,IVURO M677 LALDO B505 NADSO A777 VAXIM L301 KARKU M638 EXOLU W14 BBB W28 GGB
VOMM,Chennai,ODD,IVURO M677 LALDO B505 NADSO A777 VAXIM P307 PARAR N571 BEKUT Q9 EPKOS B211 MMV
VOMM,Chennai,ODD,ANVIX L223 TARDI N629 GIDAN P570 TOLDA N318 REXOD N563 GUNIM DCT BIA W116 TULNA
VOTV,Thiruvananthapuram,ODD,ANVIX L223 TARDI N629 GIDAN P570 EMURU M300 VASTU P895 CIA
VOTV,Thiruvananthapuram,ODD,ANVIX L223 TARDI N629 GIDAN P570 DOTAT V28 RUVAN SANOT
VRMM,Malé,ODD,ANVIX L223 TARDI N629 GIDAN P570 KITAL L894 LELEM
VTBS,Bangkok,ODD,IVURO M677 LALDO B505 NADSO B524 ALPOR M504 TELEM A791 BPL T1 BBS N895 BETNO P646 TARED
VTBS,Bangkok,ODD,IVURO M677 LALDO B505 NADSO A777 VAXIM L301 KARKU M638 EXOLU L505 BUSBO L301 PASTO
VTSP,Phuket,ODD,IVURO M677 LALDO B505 NADSO B524 ALPOR M504 TELEM A791 BPL T1 BBS L759 SATVA
VTSP,Phuket,ODD,IVURO M677 LALDO B505 NADSO A777 VAXIM L301 KARKU M638 EXOLU L505 BUSBO L301 DOGEM L510 IDKUT L645 UBNEN
VTSP,Phuket,ODD,IVURO M677 LALDO B505 NADSO A777 VAXIM P307 PARAR N571 NILAM P627 ANPUB
VTSP,Phuket,ODD,ANVIX L223 TARDI N629 TOTOX P574 MMV P761 LEGIN L510 IDKUT L645 SAPAM R203 UBNEN
VVNB,Hanoi,ODD,IVURO M677 LALDO B505 NADSO B524 ALPOR M504 TELEM A791 CEA B465 AKSAG B214 BQ W21 HUVAN
WADD,Bali,ODD,IVURO M677 LALDO B505 NADSO A777 VAXIM P307 PARAR N571 GUNIP M630 TPG M635 UDONO
WIII,Jakarta,ODD,IVURO M677 LALDO B505 NADSO A777 VAXIM P307 PARAR N571 GUNIP M630 BOBAG P501 ANITO B470 BUNIK
WIII,Jakarta,ODD,IVURO M677 LALDO B505 NADSO A777 VAXIM P307 PARAR N571 BEKUT Q9 EPKOS B211 MMV L896 ADKIT N563 MDN A585 PLB G461 BIDAK DCT BUNIK
WIII,Jakarta,ODD,ANVIX L223 TARDI N629 TOTOX P574 ANSAX L762 MDN A585 PLB G461 BIDAK DCT BUNIK
WSSS,Singapore,ODD,IVURO M677 LALDO B505 NADSO A777 VAXIM P307 PARAR N571 GUNIP R467 VKL A464 ARAMA
WSSS,Singapore,ODD,IVURO M677 LALDO B505 NADSO A777 VAXIM L301 KARKU M638 EXOLU L505 BUSBO L301 MABUR L759 PUT B579 VPL W531 VIH A464 ARAMA
YBBN,Brisbane,ODD,ANVIX L223 TARDI N629 GIDAN P570 EMURU M300 VASTU P895 BIKOK M641 PIBED DCT 09S094E 10S095E DCT CC DCT 20S107E DCT ATLOD DCT BANKS N640 NOPED DCT PINAV DCT OOM DCT CMU DCT SGE DCT GUSNI Y94 PARRY Y195 BN
YMML,Melbourne,ODD,ANVIX L223 TARDI N629 GIDAN P570 KITAL L894 DADAR DCT SAKEG DCT CROWE DCT RUNUT DCT 18S097E 20S100E DCT NONOG DCT SCRUB DCT LST DCT BOBET DCT JACKO DCT CDU A585 AD V255 BENDO Y12 ARBEY H119 ML
YPAD,Adelaide,ODD,ANVIX L223 TARDI N629 GIDAN P570 EMURU M300 VASTU P895 BIKOK M641 DOGAR DCT 05S090E 09S093E 15S098E 17S100E 21S105E 23S108E DCT SWAGY DCT NONOG DCT SCRUB DCT LST DCT BOBET DCT JACKO DCT CDU V621 RIKAB N640 AD
YPPH,Perth,ODD,ANVIX L223 TARDI N629 GIDAN P570 KITAL L894 BIBGO DCT SOLIH DCT 05S079E 09S082E 13S085E 18S090E 22S095E 25S100E 29S108E DCT ACOOL DCT KEELS T12 PH
YSSY,Sydney,ODD,ANVIX L223 TARDI N629 GIDAN P570 EMURU M300 VASTU P895 BIKOK M641 KAT N640 ELATI DCT 07S095E 10S098E 11S099E DCT SAKAB DCT 17S106E 20S110E DCT MERME DCT LM N640 NOPED DCT PINAV DCT UPSES DCT NEWMO J141 PKS H319 TARAL Y59 RIVET
ZBAA,Beijing,ODD,IVURO M677 LALDO B505 PG G325 PURPA B215 DSC W187 IBANO B215 NUKTI W66 DKO W69 GUVBA
ZGGG,Guangzhou,ODD,IVURO M677 LALDO B505 NADSO B524 ALPOR M504 TELEM A791 CEA B465 CTG A599 GYA
